place	year	type	number
TYDV	96	suit	69
SLDV	100	suit	559
TPDV	102	suit	3063
TPDV	95	small	976
PCDV	99	suit	2272
TCDV	88	suit	3812
PCDV	97	suit	598
TCDV	91	suit	552
TCDV	95	suit	2663
SLDV	103	suit	422
MLDV	89	summary	636
KSDV	101	summary	792
TNDV	92	suit	1512
KSDV	98	suit	215
KSDV	98	suit	445
TYDV	103	suit	1799
TNDV	98	suit	1047
TCDV	102	suit	2193
TCDV	99	suit	2685
KSDV	92	suit	3550
MLDV	98	summary	57
KSDV	100	suit	1568
KSDV	96	small	2236
PCDV	96	suit	2536
TNDV	95	suit	18
PCDV	103	suit	548
TPDV	99	suit	755
TPDV	96	summary	1653
TPDV	94	suit	5761
KLDV	93	suit	344
TTDV	97	suit	59
SLDV	103	suit	20
PTDV	98	suit	473
TCDV	89	suit	3493
PTDV	99	suit	22
TYDV	91	summary	1387
TYDV	100	suit	1837
KSDV	102	suit	1122
PTDV	94	suit	328
ILDV	92	suit	9
MLDV	91	suit	524
TCDV	93	suit	567
CHDV	103	suit	819
TYDV	90	summary	237
SLDV	98	suit	1137
HLDV	98	summary	112
SCDV	102	suit	326
TYDV	101	suit	431
ULDV	94	suit	340
TCDV	101	small	1794
CYDV	91	summary	77
TNDV	102	summary	294
HLDV	98	suit	189
TCDV	101	suit	857
TCDV	94	suit	350
TYDV	90	summary	1111
KLDV	103	suit	521
ULDV	91	suit	715
TPDV	103	suit	1923
PTDV	92	suit	117
KSDV	97	suit	281
KSDV	101	suit	1835
KSDV	98	suit	1167
CHDV	93	suit	843
TPDV	103	small	280
TNDV	103	suit	1028
CYDV	98	suit	524
TCDV	102	suit	80
CYDV	94	suit	530
KSDV	100	suit	1133
PTDV	102	suit	26
TYDV	103	small	937
SLDV	90	suit	1593
PCDV	98	suit	2820
KLDV	103	suit	109
TCDV	100	suit	1523
CYDV	97	suit	16
CYDV	97	suit	108
ILDV	98	suit	288
TPDV	98	small	1958
CHDV	100	suit	711
TNDV	95	suit	181
CHDV	98	suit	540
TYDV	96	suit	1049
CHDV	102	suit	296
ILDV	100	summary	78
ILDV	100	suit	55
ILDV	98	suit	107
TNDV	103	suit	201
KSDV	102	small	345
KSDV	101	suit	1036
KSDV	102	small	2593
KSDV	102	small	1775
KSDV	102	summary	227
TTDV	101	suit	61
TNDV	89	suit	946
KSDV	103	suit	1531
ULDV	102	suit	17
SCDV	93	suit	135
ULDV	94	suit	547
ILDV	102	suit	91
KSDV	102	suit	1358
TYDV	97	insurance	1
TYDV	91	suit	2058
NTDV	102	suit	147
TPDV	92	suit	297
TCDV	98	suit	2121
TCDV	98	suit	1042
KSDV	95	suit	1421
TCDV	97	suit	1234
PCDV	101	suit	580
KSDV	102	suit	1586
PHDV	97	suit	31
KSDV	103	suit	1189
TNDV	100	suit	38
TPDV	98	suit	1437
TPDV	101	suit	608
TYDV	88	suit	63
KSDV	95	suit	2460
MLDV	100	suit	423
TPDV	95	suit	454
SLDV	103	small	1296
SCDV	101	suit	573
CHDV	92	summary	221
PCDV	101	small	1104
CHDV	91	suit	1094
CHDV	90	suit	662
KSDV	98	suit	740
SCDV	97	suit	670
MLDV	102	small	253
KSDV	101	suit	677
TNDV	103	suit	621
TYDV	97	summary	1573
TNDV	101	suit	537
TPDV	92	suit	5029
KSDV	99	suit	930
MLDV	99	small	7
CHDV	90	suit	353
TYDV	97	suit	380
TCDV	98	suit	2456
CYDV	92	suit	567
CYDV	90	suit	372
TCDV	102	suit	1357
PCDV	94	suit	1803
CHDV	96	suit	38
MLDV	97	suit	214
PCDV	99	suit	303
SLDV	95	suit	1054
TPDV	90	small	1283
TCDV	100	small	377
SLDV	94	small	1318
SLDV	94	small	918
TCDV	92	small	2972
KSDV	102	summary	1136
TPDV	103	small	2638
TPDV	98	summary	32729
SLDV	96	small	1868
PTDV	97	suit	406
PTDV	97	suit	494
TYDV	103	small	509
KSDV	89	suit	2475
KSDV	98	summary	2982
ULDV	98	suit	172
PCDV	102	small	2757
PCDV	104	small	188
CYDV	93	small	1161
TCDV	92	suit	1035
TCDV	96	small	482
TCDV	98	summary	3201
TPDV	101	summary	16193
TPDV	102	small	160
TPDV	89	suit	3438
TNDV	89	suit	893
TNDV	91	small	28
NTDV	91	summary	96
TCDV	100	summary	2336
PCDV	90	insurance	24
KSDV	91	small	1925
TPDV	91	small	864
PCDV	102	small	2098
TPDV	94	small	1963
CHDV	99	small	90
TPDV	90	small	915
TPDV	98	small	249
KSDV	91	small	748
KSDV	99	small	127
SLDV	101	small	37
TPDV	101	small	284
TCDV	97	small	680
PCDV	102	small	112
CYDV	94	small	404
MLDV	93	small	923
TCDV	91	small	138
NTDV	95	small	1624
KSDV	101	small	648
CHDV	98	summary	10
TYDV	90	small	517
PCDV	93	insurance	27
SLDV	98	small	934
PCDV	89	suit	72
PTDV	92	small	558
TYDV	95	small	1714
PTDV	100	small	148
TCDV	92	small	130
TPDV	101	small	283
